channel_count,stimulus,distribution,sensitivity,peak,rms,crest_db,rail_voltage,rail_stress,memory,headroom_gain,concentration,distribution_stress
2,two_tone_imd,distributed,0.25,0.994974,0.765726,2.27477,0.885321,0.327653,0.165564,0.874619,0.5,0.5
2,two_tone_imd,concentrated,0.25,0.993908,0.758992,2.34219,0.898064,0.291247,0.165564,0.882416,1,0
4,multitone,distributed,0.25,0.995736,0.742909,2.54417,0.884313,0.330534,0.151606,0.859258,0.25,0.75
4,multitone,concentrated,0.25,0.994382,0.731333,2.66876,0.90258,0.278344,0.151606,0.870085,1,0
4,transient_burst,distributed,0.25,0.999508,0.29025,10.7403,0.849541,0.429883,0.209573,0.840836,0.25,0.75
4,transient_burst,concentrated,0.25,0.999354,0.266317,11.4864,0.873298,0.362006,0.209573,0.854367,1,0
4,lf_heavy,distributed,0.25,0.999703,0.913449,0.783731,0.76764,0.663885,0.287779,0.793722,0.25,0.75
4,lf_heavy,concentrated,0.25,0.999419,0.905499,0.85719,0.804329,0.55906,0.287779,0.812481,1,0
4,hf_heavy,distributed,0.25,0.994145,0.79625,1.92801,0.892933,0.305904,0.150224,0.865532,0.25,0.75
4,hf_heavy,concentrated,0.25,0.992442,0.786656,2.01841,0.909839,0.257604,0.150224,0.875691,1,0
4,two_tone_imd,distributed,0.25,0.995873,0.770811,2.22512,0.868777,0.374924,0.165564,0.849636,0.25,0.75
4,two_tone_imd,concentrated,0.25,0.994345,0.760132,2.33297,0.889496,0.315726,0.165564,0.861663,1,0
8,multitone,distributed,0.25,0.996399,0.746948,2.50286,0.868251,0.376427,0.151606,0.829514,0.125,0.875
8,multitone,concentrated,0.25,0.994838,0.732339,2.66081,0.891898,0.308863,0.151606,0.842618,1,0
8,transient_burst,distributed,0.25,0.99961,0.313023,10.0851,0.82865,0.48957,0.209573,0.809815,0.125,0.875
8,transient_burst,concentrated,0.25,0.999441,0.279902,11.055,0.859406,0.401698,0.209573,0.826128,1,0
8,lf_heavy,distributed,0.25,0.999801,0.917645,0.744781,0.735378,0.756062,0.287779,0.760768,0.125,0.875
8,lf_heavy,concentrated,0.25,0.999531,0.907965,0.834544,0.782874,0.620359,0.287779,0.783206,1,0
8,hf_heavy,distributed,0.25,0.994964,0.799134,1.90376,0.878068,0.348378,0.150224,0.836023,0.125,0.875
8,hf_heavy,concentrated,0.25,0.992974,0.787023,2.01901,0.899953,0.285848,0.150224,0.848329,1,0
8,two_tone_imd,distributed,0.25,0.996636,0.775266,2.18172,0.850557,0.426981,0.165564,0.819393,0.125,0.875
8,two_tone_imd,concentrated,0.25,0.994927,0.761809,2.3189,0.87738,0.350343,0.165564,0.833925,1,0
16,multitone,distributed,0.25,0.99708,0.751168,2.45986,0.847915,0.434529,0.151606,0.791983,0.0625,0.9375
16,multitone,concentrated,0.25,0.995449,0.733912,2.6475,0.876792,0.352024,0.151606,0.806608,1,0
16,transient_burst,distributed,0.25,0.99971,0.344078,9.26434,0.802202,0.565136,0.209573,0.771114,0.0625,0.9375
16,transient_burst,concentrated,0.25,0.999546,0.300472,10.44,0.839759,0.457832,0.209573,0.789236,1,0
16,lf_heavy,distributed,0.25,0.99987,0.921865,0.705527,0.697821,0.863369,0.287779,0.721895,0.0625,0.9375
16,lf_heavy,concentrated,0.25,0.999656,0.911303,0.80375,0.752534,0.707047,0.287779,0.745232,1,0
16,hf_heavy,distributed,0.25,0.99582,0.801992,1.88022,0.859247,0.402151,0.150224,0.798679,0.0625,0.9375
16,hf_heavy,concentrated,0.25,0.993698,0.787683,2.01807,0.885972,0.325793,0.150224,0.812428,1,0
16,two_tone_imd,distributed,0.25,0.997394,0.780182,2.13342,0.82749,0.492886,0.165564,0.781428,0.0625,0.9375
16,two_tone_imd,concentrated,0.25,0.995675,0.764293,2.29716,0.860245,0.3993,0.165564,0.797614,1,0
24,multitone,distributed,0.25,0.997504,0.754037,2.43043,0.832905,0.477415,0.151606,0.765685,0.0416667,0.958333
24,multitone,concentrated,0.25,0.995886,0.735221,2.63583,0.8652,0.385142,0.151606,0.780998,1,0
24,transient_burst,distributed,0.25,0.999768,0.368373,8.67224,0.782681,0.620912,0.209573,0.744176,0.0416667,0.958333
24,transient_burst,concentrated,0.25,0.999614,0.317269,9.96809,0.824684,0.500904,0.209573,0.763088,1,0
24,lf_heavy,distributed,0.25,0.999873,0.922271,0.701724,0.68611,0.896829,0.287779,0.701266,0.0416667,0.958333
24,lf_heavy,concentrated,0.25,0.999729,0.913762,0.780988,0.729252,0.773566,0.287779,0.7185,1,0
24,hf_heavy,distributed,0.25,0.996364,0.803886,1.86447,0.845356,0.441841,0.150224,0.772472,0.0416667,0.958333
24,hf_heavy,concentrated,0.25,0.994227,0.788282,2.01608,0.875245,0.356443,0.150224,0.786877,1,0
24,two_tone_imd,distributed,0.25,0.997847,0.783615,2.09923,0.810464,0.541532,0.165564,0.754903,0.0416667,0.958333
24,two_tone_imd,concentrated,0.25,0.996191,0.766275,2.27916,0.847097,0.436866,0.165564,0.771827,1,0
